inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
PPDXOENNPSDQQM	InChI=1S/C11H21NO5/c1-8(16-2)4-5-10(13)12-7-9(17-3)6-11(14)15/h8-9H,4-7H2,1-3H3,(H,12,13)(H,14,15)	C11H21NO5	50	-182.0379336873439	""	CC(CCC(=NCC(CC(=O)O)OC)O)OC	-0.0270000007	""	PubChem:(103153282)
LDZQYBNSGLAGTD	InChI=1S/C11H23NO6/c1-4-7(12(2)3)18-11-10(16)9(15)8(14)6(5-13)17-11/h6-11,13-16H,4-5H2,1-3H3	C11H23NO6	51	-182.9674868096164	(3R,4S,5S,6R)-2-[1-(dimethylamino)propoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	CCC(N(C)C)OC1C(C(C(C(CO)O1)O)O)O	-0.799000025	""	PubChem:(18605016)
YFGUSHFOYCXWHN	InChI=1S/C11H21NO5/c1-3-17-11(15)5-4-10(14)12-9(6-7-13)8-16-2/h9,13H,3-8H2,1-2H3,(H,12,14)	C11H21NO5	52	-183.35619468861125	""	CCOC(=O)CCC(=NC(CCO)COC)O	-0.195999995	""	PubChem:(113338359)
OVYGBMMEVMTEHW	InChI=1S/C11H21NO5/c1-3-4-9(13)8(5-6-17-2)12-10(14)7-11(15)16/h8-9,13H,3-7H2,1-2H3,(H,12,14)(H,15,16)	C11H21NO5	53	-183.4689171838829	""	CCCC(C(CCOC)N=C(CC(=O)O)O)O	0.277999997	""	PubChem:(90969579)
KPBNWRZWFKAWNP	InChI=1S/C11H21NO5/c1-4-14-11(15-5-2)10-9(12)8(6-16-10)17-7(3)13/h8-11H,4-6,12H2,1-3H3	C11H21NO5	54	-183.9504341069214	[(3S,4S)-4-amino-5-(diethoxymethyl)oxolan-3-yl] acetate	CCOC(C1C(C(CO1)OC(=O)C)N)OCC	-0.184	""	PubChem:(11746960)
YOVIATLEFYNUIU	InChI=1S/C11H23NO6/c1-14-3-4-16-5-6-17-7-8-18-11(13)10(12)9-15-2/h10H,3-9,12H2,1-2H3	C11H23NO6	55	-184.64543885975027	""	COCCOCCOCCOC(=O)C(COC)N	-1.51999998	""	PubChem:(104563150)
BTQKLVRYBHHFLL	InChI=1S/C11H23NO6/c1-4-7(12(2)3)17-11-9(16)8(15)10(18-11)6(14)5-13/h6-11,13-16H,4-5H2,1-3H3	C11H23NO6	56	-184.98870840383933	""	CCC(N(C)C)OC1C(C(C(C(CO)O)O1)O)O	-1.22800004	""	PubChem:(67909361 70149390)
GMRWSIZCLWGYMK	InChI=1S/C11H21NO5/c1-2-3-4-7-17-8-10(14)12-9(5-6-13)11(15)16/h9,13H,2-8H2,1H3,(H,12,14)(H,15,16)	C11H21NO5	57	-185.15845452004658	""	CCCCCOCC(=NC(CCO)C(=O)O)O	0.425000012	""	PubChem:(91609553)
GPXVHFOVJJLYKJ	InChI=1S/C11H21NO5/c1-3-17-7-4-5-10(13)12-9(11(14)15)6-8-16-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	58	-185.23103904560173	""	CCOCCCC(=NC(CCOC)C(=O)O)O	-0.0359999985	""	PubChem:(80363628)
FLKAZPFCSRVRAG	InChI=1S/C11H21NO5/c1-3-5-9(11(14)15)12-10(13)8-17-7-6-16-4-2/h9H,3-8H2,1-2H3,(H,12,13)(H,14,15)	C11H21NO5	59	-185.5607012313433	""	CCCC(C(=O)O)N=C(COCCOCC)O	0.439999998	""	PubChem:(120236252)
